Date,AQI
2017-01-01,66
2017-01-02,105
2017-01-03,99
2017-01-04,74
2017-01-05,95
2017-01-06,116
2017-01-07,61
2017-01-08,45
2017-01-09,42
2017-01-10,40
2017-01-11,67
2017-01-12,155
2017-01-13,125
2017-01-14,99
2017-01-15,122
2017-01-16,92
2017-01-17,52
2017-01-18,30
2017-01-19,44
2017-01-20,68
2017-01-21,64
2017-01-22,82
2017-01-23,66
2017-01-24,93
2017-01-25,81
2017-01-26,79
2017-01-27,68
2017-01-28,79
2017-01-29,91
2017-01-30,81
2017-01-31,64
2017-02-01,40
2017-02-02,56
2017-02-03,55
2017-02-04,52
2017-02-05,44
2017-02-06,48
2017-02-07,84
2017-02-08,56
2017-02-09,43
2017-02-10,45
2017-02-11,49
2017-02-12,72
2017-02-13,71
2017-02-14,69
2017-02-15,45
2017-02-16,44
2017-02-17,44
2017-02-18,43
2017-02-19,31
2017-02-20,41
2017-02-21,41
2017-02-22,41
2017-02-23,46
2017-02-24,41
2017-02-25,70
2017-02-26,55
2017-02-27,47
2017-02-28,46
2017-03-01,43
2017-03-02,43
2017-03-03,45
2017-03-04,46
2017-03-05,44
2017-03-06,44
2017-03-07,50
2017-03-08,44
2017-03-09,62
2017-03-10,47
2017-03-11,48
2017-03-12,41
2017-03-13,43
2017-03-14,39
2017-03-15,47
2017-03-16,49
2017-03-17,51
2017-03-18,44
2017-03-19,45
2017-03-20,45
2017-03-21,51
2017-03-22,44
2017-03-23,49
2017-03-24,45
2017-03-25,45
2017-03-26,45
2017-03-27,44
2017-03-28,50
2017-03-29,44
2017-03-30,42
2017-03-31,45
2017-04-01,39
2017-04-02,44
2017-04-03,44
2017-04-04,48
2017-04-05,61
2017-04-06,48
2017-04-07,47
2017-04-08,46
2017-04-09,46
2017-04-10,47
2017-04-11,47
2017-04-12,50
2017-04-13,49
2017-04-14,42
2017-04-15,45
2017-04-16,53
2017-04-17,44
2017-04-18,51
2017-04-19,51
2017-04-20,49
2017-04-21,45
2017-04-22,45
2017-04-23,52
2017-04-24,38
2017-04-25,44
2017-04-26,40
2017-04-27,44
2017-04-28,46
2017-04-29,50
2017-04-30,44
2017-05-01,45
2017-05-02,40
2017-05-03,34
2017-05-04,55
2017-05-05,46
2017-05-06,45
2017-05-07,47
2017-05-08,51
2017-05-09,49
2017-05-10,51
2017-05-11,47
2017-05-12,41
2017-05-13,38
2017-05-14,39
2017-05-15,43
2017-05-16,44
2017-05-17,37
2017-05-18,43
2017-05-19,48
2017-05-20,47
2017-05-21,53
2017-05-22,74
2017-05-23,61
2017-05-24,42
2017-05-25,41
2017-05-26,48
2017-05-27,61
2017-05-28,100
2017-05-29,58
2017-05-30,58
2017-05-31,35
2017-06-01,36
2017-06-02,46
2017-06-03,34
2017-06-04,42
2017-06-05,47
2017-06-06,64
2017-06-07,61
2017-06-08,40
2017-06-09,34
2017-06-10,34
2017-06-11,37
2017-06-12,34
2017-06-13,38
2017-06-14,40
2017-06-15,43
2017-06-16,37
2017-06-17,85
2017-06-18,49
2017-06-19,53
2017-06-20,39
2017-06-21,44
2017-06-22,41
2017-06-23,77
2017-06-24,119
2017-06-25,140
2017-06-26,50
2017-06-27,42
2017-06-28,47
2017-06-29,53
2017-06-30,61
2017-07-01,50
2017-07-02,42
2017-07-03,44
2017-07-04,85
2017-07-05,158
2017-07-06,105
2017-07-07,41
2017-07-08,54
2017-07-09,43
2017-07-10,29
2017-07-11,38
2017-07-12,46
2017-07-13,36
2017-07-14,47
2017-07-15,42
2017-07-16,31
2017-07-17,38
2017-07-18,48
2017-07-19,38
2017-07-20,30
2017-07-21,37
2017-07-22,36
2017-07-23,36
2017-07-24,46
2017-07-25,54
2017-07-26,54
2017-07-27,40
2017-07-28,43
2017-07-29,46
2017-07-30,41
2017-07-31,58
2017-08-01,129
2017-08-02,166
2017-08-03,195
2017-08-04,174
2017-08-05,76
2017-08-06,81
2017-08-07,152
2017-08-08,157
2017-08-09,182
2017-08-10,172
2017-08-11,106
2017-08-12,39
2017-08-13,28
2017-08-14,37
2017-08-15,42
2017-08-16,40
2017-08-17,31
2017-08-18,32
2017-08-19,40
2017-08-20,39
2017-08-21,43
2017-08-22,64
2017-08-23,38
2017-08-24,34
2017-08-25,38
2017-08-26,54
2017-08-27,74
2017-08-28,97
2017-08-29,108
2017-08-30,49
2017-08-31,40
2017-09-01,50
2017-09-02,84
2017-09-03,54
2017-09-04,71
2017-09-05,202
2017-09-06,171
2017-09-07,119
2017-09-08,67
2017-09-09,36
2017-09-10,48
2017-09-11,49
2017-09-12,44
2017-09-13,37
2017-09-14,46
2017-09-15,52
2017-09-16,98
2017-09-17,82
2017-09-18,34
2017-09-19,45
2017-09-20,31
2017-09-21,32
2017-09-22,43
2017-09-23,43
2017-09-24,47
2017-09-25,36
2017-09-26,39
2017-09-27,44
2017-09-28,58
2017-09-29,39
2017-09-30,36
2017-10-01,31
2017-10-02,34
2017-10-03,41
2017-10-04,48
2017-10-05,61
2017-10-06,44
2017-10-07,37
2017-10-08,33
2017-10-09,53
2017-10-10,42
2017-10-11,42
2017-10-12,35
2017-10-13,33
2017-10-14,53
2017-10-15,54
2017-10-16,51
2017-10-17,40
2017-10-18,42
2017-10-19,41
2017-10-20,38
2017-10-21,43
2017-10-22,43
2017-10-23,46
2017-10-24,54
2017-10-25,58
2017-10-26,52
2017-10-27,59
2017-10-28,82
2017-10-29,90
2017-10-30,76
2017-10-31,70
2017-11-01,43
2017-11-02,51
2017-11-03,38
2017-11-04,54
2017-11-05,51
2017-11-06,60
2017-11-07,69
2017-11-08,46
2017-11-09,44
2017-11-10,52
2017-11-11,56
2017-11-12,35
2017-11-13,38
2017-11-14,37
2017-11-15,42
2017-11-16,39
2017-11-17,43
2017-11-18,34
2017-11-19,28
2017-11-20,33
2017-11-21,48
2017-11-22,48
2017-11-23,36
2017-11-24,37
2017-11-25,41
2017-11-26,35
2017-11-27,37
2017-11-28,38
2017-11-29,31
2017-11-30,43
2017-12-01,38
2017-12-02,36
2017-12-03,46
2017-12-04,60
2017-12-05,68
2017-12-06,88
2017-12-07,89
2017-12-08,89
2017-12-09,111
2017-12-10,113
2017-12-11,85
2017-12-12,89
2017-12-13,82
2017-12-14,81
2017-12-15,73
2017-12-16,51
2017-12-17,72
2017-12-18,35
2017-12-19,53
2017-12-20,52
2017-12-21,94
2017-12-22,81
2017-12-23,74
2017-12-24,67
2017-12-25,70
2017-12-26,88
2017-12-27,93
2017-12-28,60
2017-12-29,57
2017-12-30,42
2017-12-31,64
2018-01-01,85
2018-01-02,89
2018-01-03,73
2018-01-04,80
2018-01-05,55
2018-01-06,37
2018-01-07,59
2018-01-08,65
2018-01-09,42
2018-01-10,40
2018-01-11,39
2018-01-12,39
2018-01-13,36
2018-01-14,54
2018-01-15,60
2018-01-16,44
2018-01-17,48
2018-01-18,40
2018-01-19,39
2018-01-20,40
2018-01-21,40
2018-01-22,40
2018-01-23,52
2018-01-24,40
2018-01-25,41
2018-01-26,42
2018-01-27,41
2018-01-28,42
2018-01-29,44
2018-01-30,41
2018-01-31,47
2018-02-01,38
2018-02-02,40
2018-02-03,40
2018-02-04,36
2018-02-05,40
2018-02-06,34
2018-02-07,38
2018-02-08,37
2018-02-09,42
2018-02-10,51
2018-02-11,67
2018-02-12,45
2018-02-13,63
2018-02-14,56
2018-02-15,40
2018-02-16,37
2018-02-17,41
2018-02-18,33
2018-02-19,54
2018-02-20,80
2018-02-21,53
2018-02-22,45
2018-02-23,69
2018-02-24,39
2018-02-25,35
